forecast_date,target_end_date,location,target,quantile,value,type
2022-03-21,2022-03-26,01,1 wk ahead inc flu hosp,0.01,2.1951778971409643,quantile
2022-03-21,2022-03-26,01,1 wk ahead inc flu hosp,0.025,7.311947057161528,quantile
2022-03-21,2022-03-26,01,1 wk ahead inc flu hosp,0.05,11.028859152894812,quantile
2022-03-21,2022-03-26,01,1 wk ahead inc flu hosp,0.1,15.324334031330427,quantile
2022-03-21,2022-03-26,01,1 wk ahead inc flu hosp,0.15,18.02255593245475,quantile
2022-03-21,2022-03-26,01,1 wk ahead inc flu hosp,0.2,20.336099390629247,quantile
2022-03-21,2022-03-26,01,1 wk ahead inc flu hosp,0.25,22.079457017704694,quantile
2022-03-21,2022-03-26,01,1 wk ahead inc flu hosp,0.3,23.851875822833364,quantile
2022-03-21,2022-03-26,01,1 wk ahead inc flu hosp,0.35,25.373553717592102,quantile
2022-03-21,2022-03-26,01,1 wk ahead inc flu hosp,0.4,26.869620250620184,quantile
2022-03-21,2022-03-26,01,1 wk ahead inc flu hosp,0.45,28.306292440495017,quantile
2022-03-21,2022-03-26,01,1 wk ahead inc flu hosp,0.5,29.845040483909287,quantile
2022-03-21,2022-03-26,01,1 wk ahead inc flu hosp,0.55,31.29609351286619,quantile
2022-03-21,2022-03-26,01,1 wk ahead inc flu hosp,0.6,32.79112618998756,quantile
2022-03-21,2022-03-26,01,1 wk ahead inc flu hosp,0.65,34.44746797163567,quantile
2022-03-21,2022-03-26,01,1 wk ahead inc flu hosp,0.7,36.13598743459342,quantile
2022-03-21,2022-03-26,01,1 wk ahead inc flu hosp,0.75,37.874749455247866,quantile
2022-03-21,2022-03-26,01,1 wk ahead inc flu hosp,0.8,40.101480832139636,quantile
2022-03-21,2022-03-26,01,1 wk ahead inc flu hosp,0.85,42.90003953562076,quantile
2022-03-21,2022-03-26,01,1 wk ahead inc flu hosp,0.9,46.664322931396406,quantile
2022-03-21,2022-03-26,01,1 wk ahead inc flu hosp,0.95,52.94506305403526,quantile
2022-03-21,2022-03-26,01,1 wk ahead inc flu hosp,0.975,60.34429557860077,quantile
2022-03-21,2022-03-26,01,1 wk ahead inc flu hosp,0.99,70.30964022521917,quantile
2022-03-21,2022-03-26,02,1 wk ahead inc flu hosp,0.01,-8.34944131591711,quantile
2022-03-21,2022-03-26,02,1 wk ahead inc flu hosp,0.025,-6.236972763392346,quantile
2022-03-21,2022-03-26,02,1 wk ahead inc flu hosp,0.05,-4.308955628042578,quantile
2022-03-21,2022-03-26,02,1 wk ahead inc flu hosp,0.1,-2.054479993175672,quantile
2022-03-21,2022-03-26,02,1 wk ahead inc flu hosp,0.15,-0.962550121996712,quantile
2022-03-21,2022-03-26,02,1 wk ahead inc flu hosp,0.2,-0.11748307473274562,quantile
2022-03-21,2022-03-26,02,1 wk ahead inc flu hosp,0.25,0.477867038432386,quantile
2022-03-21,2022-03-26,02,1 wk ahead inc flu hosp,0.3,0.983187426476336,quantile
2022-03-21,2022-03-26,02,1 wk ahead inc flu hosp,0.35,1.5028597395068284,quantile
2022-03-21,2022-03-26,02,1 wk ahead inc flu hosp,0.4,1.9478629563831635,quantile
2022-03-21,2022-03-26,02,1 wk ahead inc flu hosp,0.45,2.3471975223512835,quantile
2022-03-21,2022-03-26,02,1 wk ahead inc flu hosp,0.5,2.728832400832717,quantile
2022-03-21,2022-03-26,02,1 wk ahead inc flu hosp,0.55,3.119015016905337,quantile
2022-03-21,2022-03-26,02,1 wk ahead inc flu hosp,0.6,3.5189039034667564,quantile
2022-03-21,2022-03-26,02,1 wk ahead inc flu hosp,0.65,3.9226513234675378,quantile
2022-03-21,2022-03-26,02,1 wk ahead inc flu hosp,0.7,4.3927665929954625,quantile
2022-03-21,2022-03-26,02,1 wk ahead inc flu hosp,0.75,4.832128895865093,quantile
2022-03-21,2022-03-26,02,1 wk ahead inc flu hosp,0.8,5.345549117809437,quantile
2022-03-21,2022-03-26,02,1 wk ahead inc flu hosp,0.85,6.027651381743822,quantile
2022-03-21,2022-03-26,02,1 wk ahead inc flu hosp,0.9,6.87235581835857,quantile
2022-03-21,2022-03-26,02,1 wk ahead inc flu hosp,0.95,8.448885533640238,quantile
2022-03-21,2022-03-26,02,1 wk ahead inc flu hosp,0.975,9.982979599222844,quantile
2022-03-21,2022-03-26,02,1 wk ahead inc flu hosp,0.99,12.498827603365854,quantile
2022-03-21,2022-03-26,04,1 wk ahead inc flu hosp,0.01,27.416439775488502,quantile
2022-03-21,2022-03-26,04,1 wk ahead inc flu hosp,0.025,35.20130187088947,quantile
2022-03-21,2022-03-26,04,1 wk ahead inc flu hosp,0.05,42.40261215359877,quantile
2022-03-21,2022-03-26,04,1 wk ahead inc flu hosp,0.1,50.244896698315245,quantile
2022-03-21,2022-03-26,04,1 wk ahead inc flu hosp,0.15,55.76831167048197,quantile
2022-03-21,2022-03-26,04,1 wk ahead inc flu hosp,0.2,60.09064110373787,quantile
2022-03-21,2022-03-26,04,1 wk ahead inc flu hosp,0.25,63.73910419653193,quantile
2022-03-21,2022-03-26,04,1 wk ahead inc flu hosp,0.3,66.91980862119475,quantile
2022-03-21,2022-03-26,04,1 wk ahead inc flu hosp,0.35,69.8259804533006,quantile
2022-03-21,2022-03-26,04,1 wk ahead inc flu hosp,0.4,72.54522927540876,quantile
2022-03-21,2022-03-26,04,1 wk ahead inc flu hosp,0.45,75.18318447216542,quantile
2022-03-21,2022-03-26,04,1 wk ahead inc flu hosp,0.5,77.78768106617778,quantile
2022-03-21,2022-03-26,04,1 wk ahead inc flu hosp,0.55,80.50834945824747,quantile
2022-03-21,2022-03-26,04,1 wk ahead inc flu hosp,0.6,83.1652836109824,quantile
