forecast_date,target_end_date,location,target,quantile,value,type
2022-03-21,2022-03-26,09,1 wk ahead inc flu hosp,0.01,2.046313527917766,quantile
2022-03-21,2022-03-26,09,1 wk ahead inc flu hosp,0.025,3.8138312753102,quantile
2022-03-21,2022-03-26,09,1 wk ahead inc flu hosp,0.05,5.136243652818138,quantile
2022-03-21,2022-03-26,09,1 wk ahead inc flu hosp,0.1,6.66256712280461,quantile
2022-03-21,2022-03-26,09,1 wk ahead inc flu hosp,0.15,7.725002171504764,quantile
2022-03-21,2022-03-26,09,1 wk ahead inc flu hosp,0.2,8.674532620964223,quantile
2022-03-21,2022-03-26,09,1 wk ahead inc flu hosp,0.25,9.42640503830624,quantile
2022-03-21,2022-03-26,09,1 wk ahead inc flu hosp,0.3,10.056252120747622,quantile
2022-03-21,2022-03-26,09,1 wk ahead inc flu hosp,0.35,10.642028987638612,quantile
2022-03-21,2022-03-26,09,1 wk ahead inc flu hosp,0.4,11.214200974457768,quantile
2022-03-21,2022-03-26,09,1 wk ahead inc flu hosp,0.45,11.759646894920907,quantile
2022-03-21,2022-03-26,09,1 wk ahead inc flu hosp,0.5,12.287883442090916,quantile
2022-03-21,2022-03-26,09,1 wk ahead inc flu hosp,0.55,12.806206372028536,quantile
2022-03-21,2022-03-26,09,1 wk ahead inc flu hosp,0.6,13.36663482409002,quantile
2022-03-21,2022-03-26,09,1 wk ahead inc flu hosp,0.65,13.97087171728551,quantile
2022-03-21,2022-03-26,09,1 wk ahead inc flu hosp,0.7,14.575963432308129,quantile
2022-03-21,2022-03-26,09,1 wk ahead inc flu hosp,0.75,15.22027120991579,quantile
2022-03-21,2022-03-26,09,1 wk ahead inc flu hosp,0.8,15.94085277989755,quantile
2022-03-21,2022-03-26,09,1 wk ahead inc flu hosp,0.85,16.78925929455038,quantile
2022-03-21,2022-03-26,09,1 wk ahead inc flu hosp,0.9,17.866146666632538,quantile
2022-03-21,2022-03-26,09,1 wk ahead inc flu hosp,0.95,19.457093144873117,quantile
2022-03-21,2022-03-26,09,1 wk ahead inc flu hosp,0.975,20.848409041289187,quantile
2022-03-21,2022-03-26,09,1 wk ahead inc flu hosp,0.99,22.38801020801818,quantile
2022-03-21,2022-03-26,23,1 wk ahead inc flu hosp,0.01,0.0,quantile
2022-03-21,2022-03-26,23,1 wk ahead inc flu hosp,0.025,0.0,quantile
2022-03-21,2022-03-26,23,1 wk ahead inc flu hosp,0.05,0.0,quantile
2022-03-21,2022-03-26,23,1 wk ahead inc flu hosp,0.1,0.0,quantile
2022-03-21,2022-03-26,23,1 wk ahead inc flu hosp,0.15,0.0,quantile
2022-03-21,2022-03-26,23,1 wk ahead inc flu hosp,0.2,0.0,quantile
2022-03-21,2022-03-26,23,1 wk ahead inc flu hosp,0.25,0.0,quantile
2022-03-21,2022-03-26,23,1 wk ahead inc flu hosp,0.3,0.0,quantile
2022-03-21,2022-03-26,23,1 wk ahead inc flu hosp,0.35,0.0,quantile
2022-03-21,2022-03-26,23,1 wk ahead inc flu hosp,0.4,0.2504812658317348,quantile
2022-03-21,2022-03-26,23,1 wk ahead inc flu hosp,0.45,0.5178611780389356,quantile
2022-03-21,2022-03-26,23,1 wk ahead inc flu hosp,0.5,0.7953734430770607,quantile
2022-03-21,2022-03-26,23,1 wk ahead inc flu hosp,0.55,1.066840586867138,quantile
2022-03-21,2022-03-26,23,1 wk ahead inc flu hosp,0.6,1.3274657773320302,quantile
2022-03-21,2022-03-26,23,1 wk ahead inc flu hosp,0.65,1.6113514351200149,quantile
2022-03-21,2022-03-26,23,1 wk ahead inc flu hosp,0.7,1.914037384336824,quantile
2022-03-21,2022-03-26,23,1 wk ahead inc flu hosp,0.75,2.228559678769152,quantile
2022-03-21,2022-03-26,23,1 wk ahead inc flu hosp,0.8,2.585870706483988,quantile
2022-03-21,2022-03-26,23,1 wk ahead inc flu hosp,0.85,2.9898345209434543,quantile
2022-03-21,2022-03-26,23,1 wk ahead inc flu hosp,0.9,3.5190982948154024,quantile
2022-03-21,2022-03-26,23,1 wk ahead inc flu hosp,0.95,4.325076706143682,quantile
2022-03-21,2022-03-26,23,1 wk ahead inc flu hosp,0.975,5.048220584132903,quantile
2022-03-21,2022-03-26,23,1 wk ahead inc flu hosp,0.99,5.784928122304272,quantile
2022-03-21,2022-03-26,25,1 wk ahead inc flu hosp,0.01,17.59705503824664,quantile
2022-03-21,2022-03-26,25,1 wk ahead inc flu hosp,0.025,20.80553223378556,quantile
2022-03-21,2022-03-26,25,1 wk ahead inc flu hosp,0.05,23.65862288833278,quantile
2022-03-21,2022-03-26,25,1 wk ahead inc flu hosp,0.1,26.787645137029298,quantile
2022-03-21,2022-03-26,25,1 wk ahead inc flu hosp,0.15,28.779394253277733,quantile
2022-03-21,2022-03-26,25,1 wk ahead inc flu hosp,0.2,30.373098611736623,quantile
2022-03-21,2022-03-26,25,1 wk ahead inc flu hosp,0.25,31.69979419326062,quantile
2022-03-21,2022-03-26,25,1 wk ahead inc flu hosp,0.3,32.793447142213054,quantile
2022-03-21,2022-03-26,25,1 wk ahead inc flu hosp,0.35,33.95381712144179,quantile
2022-03-21,2022-03-26,25,1 wk ahead inc flu hosp,0.4,35.043657301509704,quantile
2022-03-21,2022-03-26,25,1 wk ahead inc flu hosp,0.45,36.046777851354015,quantile
2022-03-21,2022-03-26,25,1 wk ahead inc flu hosp,0.5,37.01023608516719,quantile
2022-03-21,2022-03-26,25,1 wk ahead inc flu hosp,0.55,37.968807855646894,quantile
2022-03-21,2022-03-26,25,1 wk ahead inc flu hosp,0.6,38.93574469880475,quantile
2022-03-21,2022-03-26,25,1 wk ahead inc flu hosp,0.65,39.955088447788434,quantile
2022-03-21,2022-03-26,25,1 wk ahead inc flu hosp,0.7,41.00004281438196,quantile
2022-03-21,2022-03-26,25,1 wk ahead inc flu hosp,0.75,42.097249982974645,quantile
2022-03-21,2022-03-26,25,1 wk ahead inc flu hosp,0.8,43.41931098787108,quantile
2022-03-21,2022-03-26,25,1 wk ahead inc flu hosp,0.85,45.06320346347756,quantile
2022-03-21,2022-03-26,25,1 wk ahead inc flu hosp,0.9,46.97274622901839,quantile
2022-03-21,2022-03-26,25,1 wk ahead inc flu hosp,0.95,49.85167211154947,quantile
2022-03-21,2022-03-26,25,1 wk ahead inc flu hosp,0.975,52.046819881285415,quantile
2022-03-21,2022-03-26,25,1 wk ahead inc flu hosp,0.99,54.67273391026629,quantile
2022-03-21,2022-03-26,33,1 wk ahead inc flu hosp,0.01,0.0,quantile
2022-03-21,2022-03-26,33,1 wk ahead inc flu hosp,0.025,0.0,quantile
2022-03-21,2022-03-26,33,1 wk ahead inc flu hosp,0.05,0.0,quantile
2022-03-21,2022-03-26,33,1 wk ahead inc flu hosp,0.1,0.0,quantile
2022-03-21,2022-03-26,33,1 wk ahead inc flu hosp,0.15,0.0,quantile
2022-03-21,2022-03-26,33,1 wk ahead inc flu hosp,0.2,0.0,quantile
2022-03-21,2022-03-26,33,1 wk ahead inc flu hosp,0.25,0.0,quantile
2022-03-21,2022-03-26,33,1 wk ahead inc flu hosp,0.3,0.0,quantile
2022-03-21,2022-03-26,33,1 wk ahead inc flu hosp,0.35,0.0,quantile
2022-03-21,2022-03-26,33,1 wk ahead inc flu hosp,0.4,0.0,quantile
2022-03-21,2022-03-26,33,1 wk ahead inc flu hosp,0.45,0.0,quantile
2022-03-21,2022-03-26,33,1 wk ahead inc flu hosp,0.5,0.0,quantile
2022-03-21,2022-03-26,33,1 wk ahead inc flu hosp,0.55,0.0,quantile
2022-03-21,2022-03-26,33,1 wk ahead inc flu hosp,0.6,0.0793926006556576,quantile
2022-03-21,2022-03-26,33,1 wk ahead inc flu hosp,0.65,0.5032471456563046,quantile
2022-03-21,2022-03-26,33,1 wk ahead inc flu hosp,0.7,1.020248375663847,quantile
2022-03-21,2022-03-26,33,1 wk ahead inc flu hosp,0.75,1.553546622159924,quantile
2022-03-21,2022-03-26,33,1 wk ahead inc flu hosp,0.8,2.16528606353547,quantile
2022-03-21,2022-03-26,33,1 wk ahead inc flu hosp,0.85,2.844711240439488,quantile
2022-03-21,2022-03-26,33,1 wk ahead inc flu hosp,0.9,3.792325822558464,quantile
2022-03-21,2022-03-26,33,1 wk ahead inc flu hosp,0.95,5.193839616442005,quantile
2022-03-21,2022-03-26,33,1 wk ahead inc flu hosp,0.975,6.280329585915264,quantile
2022-03-21,2022-03-26,33,1 wk ahead inc flu hosp,0.99,7.741578037570768,quantile
2022-03-21,2022-03-26,44,1 wk ahead inc flu hosp,0.01,0.2022993592808633,quantile
2022-03-21,2022-03-26,44,1 wk ahead inc flu hosp,0.025,0.6013261331228869,quantile
2022-03-21,2022-03-26,44,1 wk ahead inc flu hosp,0.05,0.8991218691821883,quantile
2022-03-21,2022-03-26,44,1 wk ahead inc flu hosp,0.1,1.194329397447901,quantile
2022-03-21,2022-03-26,44,1 wk ahead inc flu hosp,0.15,1.4097783627331582,quantile
2022-03-21,2022-03-26,44,1 wk ahead inc flu hosp,0.2,1.585187257643433,quantile
2022-03-21,2022-03-26,44,1 wk ahead inc flu hosp,0.25,1.7310662870953129,quantile
2022-03-21,2022-03-26,44,1 wk ahead inc flu hosp,0.3,1.8654881160389007,quantile
2022-03-21,2022-03-26,44,1 wk ahead inc flu hosp,0.35,1.979709496712372,quantile
2022-03-21,2022-03-26,44,1 wk ahead inc flu hosp,0.4,2.0933054816179504,quantile
2022-03-21,2022-03-26,44,1 wk ahead inc flu hosp,0.45,2.199722676158854,quantile
2022-03-21,2022-03-26,44,1 wk ahead inc flu hosp,0.5,2.3164861216532957,quantile
2022-03-21,2022-03-26,44,1 wk ahead inc flu hosp,0.55,2.41842039193001,quantile
2022-03-21,2022-03-26,44,1 wk ahead inc flu hosp,0.6,2.5348110770879355,quantile
2022-03-21,2022-03-26,44,1 wk ahead inc flu hosp,0.65,2.6429754181807734,quantile
2022-03-21,2022-03-26,44,1 wk ahead inc flu hosp,0.7,2.7679136817125767,quantile
2022-03-21,2022-03-26,44,1 wk ahead inc flu hosp,0.75,2.8979272288604143,quantile
2022-03-21,2022-03-26,44,1 wk ahead inc flu hosp,0.8,3.047124811625709,quantile
2022-03-21,2022-03-26,44,1 wk ahead inc flu hosp,0.85,3.234677594642716,quantile
2022-03-21,2022-03-26,44,1 wk ahead inc flu hosp,0.9,3.4467824717431217,quantile
2022-03-21,2022-03-26,44,1 wk ahead inc flu hosp,0.95,3.78799934324389,quantile
2022-03-21,2022-03-26,44,1 wk ahead inc flu hosp,0.975,4.069374933816684,quantile
2022-03-21,2022-03-26,44,1 wk ahead inc flu hosp,0.99,4.433364612896554,quantile
2022-03-21,2022-03-26,50,1 wk ahead inc flu hosp,0.01,0.0,quantile
2022-03-21,2022-03-26,50,1 wk ahead inc flu hosp,0.025,0.0,quantile
