forecast_date,target_end_date,location,target,quantile,value,type
2022-05-02,2022-05-07,09,1 wk ahead inc flu hosp,0.01,12.676268679693003,quantile
2022-05-02,2022-05-07,09,1 wk ahead inc flu hosp,0.025,16.241791460429354,quantile
2022-05-02,2022-05-07,09,1 wk ahead inc flu hosp,0.05,19.758512616518164,quantile
2022-05-02,2022-05-07,09,1 wk ahead inc flu hosp,0.1,23.761424419832853,quantile
2022-05-02,2022-05-07,09,1 wk ahead inc flu hosp,0.15,26.484604142818807,quantile
2022-05-02,2022-05-07,09,1 wk ahead inc flu hosp,0.2,28.802613196462982,quantile
2022-05-02,2022-05-07,09,1 wk ahead inc flu hosp,0.25,30.553116858670517,quantile
2022-05-02,2022-05-07,09,1 wk ahead inc flu hosp,0.3,32.22594540895284,quantile
2022-05-02,2022-05-07,09,1 wk ahead inc flu hosp,0.35,33.82353003987777,quantile
2022-05-02,2022-05-07,09,1 wk ahead inc flu hosp,0.4,35.31069481710308,quantile
2022-05-02,2022-05-07,09,1 wk ahead inc flu hosp,0.45,36.77961051312129,quantile
2022-05-02,2022-05-07,09,1 wk ahead inc flu hosp,0.5,38.18366137069644,quantile
2022-05-02,2022-05-07,09,1 wk ahead inc flu hosp,0.55,39.51561635033413,quantile
2022-05-02,2022-05-07,09,1 wk ahead inc flu hosp,0.6,40.76197101491506,quantile
2022-05-02,2022-05-07,09,1 wk ahead inc flu hosp,0.65,42.25502556273385,quantile
2022-05-02,2022-05-07,09,1 wk ahead inc flu hosp,0.7,43.909128438179145,quantile
2022-05-02,2022-05-07,09,1 wk ahead inc flu hosp,0.75,45.603970682758586,quantile
2022-05-02,2022-05-07,09,1 wk ahead inc flu hosp,0.8,47.53692022860712,quantile
2022-05-02,2022-05-07,09,1 wk ahead inc flu hosp,0.85,49.87110994225984,quantile
2022-05-02,2022-05-07,09,1 wk ahead inc flu hosp,0.9,52.672757664940356,quantile
2022-05-02,2022-05-07,09,1 wk ahead inc flu hosp,0.95,56.901698547318624,quantile
2022-05-02,2022-05-07,09,1 wk ahead inc flu hosp,0.975,60.516312113950775,quantile
2022-05-02,2022-05-07,09,1 wk ahead inc flu hosp,0.99,64.43847995813465,quantile
2022-05-02,2022-05-07,23,1 wk ahead inc flu hosp,0.01,13.634915497313703,quantile
2022-05-02,2022-05-07,23,1 wk ahead inc flu hosp,0.025,16.442484494964944,quantile
2022-05-02,2022-05-07,23,1 wk ahead inc flu hosp,0.05,18.64412689521112,quantile
2022-05-02,2022-05-07,23,1 wk ahead inc flu hosp,0.1,21.102324035929566,quantile
2022-05-02,2022-05-07,23,1 wk ahead inc flu hosp,0.15,22.740388459349486,quantile
2022-05-02,2022-05-07,23,1 wk ahead inc flu hosp,0.2,24.0943085674996,quantile
2022-05-02,2022-05-07,23,1 wk ahead inc flu hosp,0.25,25.190369718381092,quantile
2022-05-02,2022-05-07,23,1 wk ahead inc flu hosp,0.3,26.144094347798738,quantile
2022-05-02,2022-05-07,23,1 wk ahead inc flu hosp,0.35,27.065622595152895,quantile
2022-05-02,2022-05-07,23,1 wk ahead inc flu hosp,0.4,27.96351807323754,quantile
2022-05-02,2022-05-07,23,1 wk ahead inc flu hosp,0.45,28.76449758097455,quantile
2022-05-02,2022-05-07,23,1 wk ahead inc flu hosp,0.5,29.540053805220808,quantile
2022-05-02,2022-05-07,23,1 wk ahead inc flu hosp,0.55,30.306119214995032,quantile
