forecast_date,target_end_date,location,target,quantile,value,type
2022-01-24,2022-01-29,09,1 wk ahead inc flu hosp,0.01,-19.45798550944425,quantile
2022-01-24,2022-01-29,09,1 wk ahead inc flu hosp,0.025,-17.005762233288156,quantile
2022-01-24,2022-01-29,09,1 wk ahead inc flu hosp,0.05,-13.788079220562386,quantile
2022-01-24,2022-01-29,09,1 wk ahead inc flu hosp,0.1,-11.032453012960888,quantile
2022-01-24,2022-01-29,09,1 wk ahead inc flu hosp,0.15,-9.00586781513844,quantile
2022-01-24,2022-01-29,09,1 wk ahead inc flu hosp,0.2,-7.423205742092823,quantile
2022-01-24,2022-01-29,09,1 wk ahead inc flu hosp,0.25,-5.752292644857975,quantile
2022-01-24,2022-01-29,09,1 wk ahead inc flu hosp,0.3,-4.257832641903217,quantile
2022-01-24,2022-01-29,09,1 wk ahead inc flu hosp,0.35,-3.0063040150762164,quantile
2022-01-24,2022-01-29,09,1 wk ahead inc flu hosp,0.4,-1.810596151306179,quantile
2022-01-24,2022-01-29,09,1 wk ahead inc flu hosp,0.45,-0.5901080574711081,quantile
2022-01-24,2022-01-29,09,1 wk ahead inc flu hosp,0.5,0.47499872174810565,quantile
2022-01-24,2022-01-29,09,1 wk ahead inc flu hosp,0.55,1.7814593344564864,quantile
2022-01-24,2022-01-29,09,1 wk ahead inc flu hosp,0.6,3.120378772645071,quantile
2022-01-24,2022-01-29,09,1 wk ahead inc flu hosp,0.65,4.709712954748866,quantile
2022-01-24,2022-01-29,09,1 wk ahead inc flu hosp,0.7,6.032277323159559,quantile
2022-01-24,2022-01-29,09,1 wk ahead inc flu hosp,0.75,7.370548381694366,quantile
2022-01-24,2022-01-29,09,1 wk ahead inc flu hosp,0.8,8.63807332268484,quantile
2022-01-24,2022-01-29,09,1 wk ahead inc flu hosp,0.85,10.479176426115405,quantile
2022-01-24,2022-01-29,09,1 wk ahead inc flu hosp,0.9,13.018523928325942,quantile
2022-01-24,2022-01-29,09,1 wk ahead inc flu hosp,0.95,16.512645257943106,quantile
2022-01-24,2022-01-29,09,1 wk ahead inc flu hosp,0.975,20.272941041007954,quantile
2022-01-24,2022-01-29,09,1 wk ahead inc flu hosp,0.99,23.405762372138664,quantile
2022-01-24,2022-02-05,09,2 wk ahead inc flu hosp,0.01,-54.280505329275904,quantile
2022-01-24,2022-02-05,09,2 wk ahead inc flu hosp,0.025,-49.11955221895391,quantile
2022-01-24,2022-02-05,09,2 wk ahead inc flu hosp,0.05,-43.11620751803701,quantile
2022-01-24,2022-02-05,09,2 wk ahead inc flu hosp,0.1,-38.922721272959784,quantile
2022-01-24,2022-02-05,09,2 wk ahead inc flu hosp,0.15,-35.453779278448565,quantile
2022-01-24,2022-02-05,09,2 wk ahead inc flu hosp,0.2,-32.696165126370644,quantile
2022-01-24,2022-02-05,09,2 wk ahead inc flu hosp,0.25,-30.488076734349235,quantile
2022-01-24,2022-02-05,09,2 wk ahead inc flu hosp,0.3,-28.19890945734934,quantile
2022-01-24,2022-02-05,09,2 wk ahead inc flu hosp,0.35,-26.366387104347577,quantile
2022-01-24,2022-02-05,09,2 wk ahead inc flu hosp,0.4,-24.557427637083375,quantile
2022-01-24,2022-02-05,09,2 wk ahead inc flu hosp,0.45,-22.431545032965484,quantile
2022-01-24,2022-02-05,09,2 wk ahead inc flu hosp,0.5,-20.697623581717608,quantile
2022-01-24,2022-02-05,09,2 wk ahead inc flu hosp,0.55,-18.76012658810604,quantile
2022-01-24,2022-02-05,09,2 wk ahead inc flu hosp,0.6,-16.458185772686992,quantile
2022-01-24,2022-02-05,09,2 wk ahead inc flu hosp,0.65,-14.234242547611279,quantile
2022-01-24,2022-02-05,09,2 wk ahead inc flu hosp,0.7,-12.066897121290664,quantile
2022-01-24,2022-02-05,09,2 wk ahead inc flu hosp,0.75,-9.623241634853017,quantile
2022-01-24,2022-02-05,09,2 wk ahead inc flu hosp,0.8,-7.730805036411362,quantile
2022-01-24,2022-02-05,09,2 wk ahead inc flu hosp,0.85,-5.45026153680086,quantile
2022-01-24,2022-02-05,09,2 wk ahead inc flu hosp,0.9,-1.1029150235389935,quantile
2022-01-24,2022-02-05,09,2 wk ahead inc flu hosp,0.95,5.100854707330881,quantile
2022-01-24,2022-02-05,09,2 wk ahead inc flu hosp,0.975,10.855840258576318,quantile
2022-01-24,2022-02-05,09,2 wk ahead inc flu hosp,0.99,15.965691728253736,quantile
2022-01-24,2022-02-12,09,3 wk ahead inc flu hosp,0.01,-56.488027598272,quantile
2022-01-24,2022-02-12,09,3 wk ahead inc flu hosp,0.025,-49.52279087157219,quantile
2022-01-24,2022-02-12,09,3 wk ahead inc flu hosp,0.05,-44.300685179063315,quantile
2022-01-24,2022-02-12,09,3 wk ahead inc flu hosp,0.1,-38.46778364289531,quantile
2022-01-24,2022-02-12,09,3 wk ahead inc flu hosp,0.15,-34.592918217727046,quantile
2022-01-24,2022-02-12,09,3 wk ahead inc flu hosp,0.2,-31.848023297539115,quantile
2022-01-24,2022-02-12,09,3 wk ahead inc flu hosp,0.25,-29.295411249746792,quantile
2022-01-24,2022-02-12,09,3 wk ahead inc flu hosp,0.3,-26.90373489452001,quantile
2022-01-24,2022-02-12,09,3 wk ahead inc flu hosp,0.35,-24.368086791960366,quantile
2022-01-24,2022-02-12,09,3 wk ahead inc flu hosp,0.4,-22.403084071742903,quantile
2022-01-24,2022-02-12,09,3 wk ahead inc flu hosp,0.45,-20.38384448643086,quantile
2022-01-24,2022-02-12,09,3 wk ahead inc flu hosp,0.5,-18.696994785147048,quantile
2022-01-24,2022-02-12,09,3 wk ahead inc flu hosp,0.55,-16.990210089952257,quantile
2022-01-24,2022-02-12,09,3 wk ahead inc flu hosp,0.6,-14.694089901811463,quantile
2022-01-24,2022-02-12,09,3 wk ahead inc flu hosp,0.65,-12.90259807693644,quantile
2022-01-24,2022-02-12,09,3 wk ahead inc flu hosp,0.7,-10.877051832218969,quantile
2022-01-24,2022-02-12,09,3 wk ahead inc flu hosp,0.75,-8.746590131515418,quantile
2022-01-24,2022-02-12,09,3 wk ahead inc flu hosp,0.8,-6.577708894657282,quantile
2022-01-24,2022-02-12,09,3 wk ahead inc flu hosp,0.85,-4.064761763297587,quantile
2022-01-24,2022-02-12,09,3 wk ahead inc flu hosp,0.9,-0.4980523977841966,quantile
2022-01-24,2022-02-12,09,3 wk ahead inc flu hosp,0.95,5.4250009544620035,quantile
2022-01-24,2022-02-12,09,3 wk ahead inc flu hosp,0.975,10.425848498618231,quantile
2022-01-24,2022-02-12,09,3 wk ahead inc flu hosp,0.99,17.785721870910013,quantile
2022-01-24,2022-02-19,09,4 wk ahead inc flu hosp,0.01,-58.132285603997474,quantile
2022-01-24,2022-02-19,09,4 wk ahead inc flu hosp,0.025,-49.34882334324699,quantile
2022-01-24,2022-02-19,09,4 wk ahead inc flu hosp,0.05,-41.34025024758414,quantile
2022-01-24,2022-02-19,09,4 wk ahead inc flu hosp,0.1,-33.470519544594175,quantile
2022-01-24,2022-02-19,09,4 wk ahead inc flu hosp,0.15,-27.814455105036167,quantile
2022-01-24,2022-02-19,09,4 wk ahead inc flu hosp,0.2,-23.23876924256181,quantile
2022-01-24,2022-02-19,09,4 wk ahead inc flu hosp,0.25,-19.5961479529929,quantile
2022-01-24,2022-02-19,09,4 wk ahead inc flu hosp,0.3,-15.928330861501678,quantile
2022-01-24,2022-02-19,09,4 wk ahead inc flu hosp,0.35,-13.327076123327052,quantile
2022-01-24,2022-02-19,09,4 wk ahead inc flu hosp,0.4,-10.657156577665448,quantile
2022-01-24,2022-02-19,09,4 wk ahead inc flu hosp,0.45,-8.065439434191696,quantile
2022-01-24,2022-02-19,09,4 wk ahead inc flu hosp,0.5,-5.720710720505512,quantile
2022-01-24,2022-02-19,09,4 wk ahead inc flu hosp,0.55,-3.599931437891957,quantile
2022-01-24,2022-02-19,09,4 wk ahead inc flu hosp,0.6,-1.066761403329826,quantile
2022-01-24,2022-02-19,09,4 wk ahead inc flu hosp,0.65,1.2349829523409481,quantile
2022-01-24,2022-02-19,09,4 wk ahead inc flu hosp,0.7,3.5794169028654395,quantile
2022-01-24,2022-02-19,09,4 wk ahead inc flu hosp,0.75,6.461600382901965,quantile
2022-01-24,2022-02-19,09,4 wk ahead inc flu hosp,0.8,9.276733701857218,quantile
2022-01-24,2022-02-19,09,4 wk ahead inc flu hosp,0.85,12.771978764978575,quantile
2022-01-24,2022-02-19,09,4 wk ahead inc flu hosp,0.9,16.817098738370998,quantile
2022-01-24,2022-02-19,09,4 wk ahead inc flu hosp,0.95,23.57323570452675,quantile
2022-01-24,2022-02-19,09,4 wk ahead inc flu hosp,0.975,30.152325443089087,quantile
2022-01-24,2022-02-19,09,4 wk ahead inc flu hosp,0.99,36.04543053793044,quantile
2022-01-24,2022-01-29,23,1 wk ahead inc flu hosp,0.01,-1.9834458015840555,quantile
2022-01-24,2022-01-29,23,1 wk ahead inc flu hosp,0.025,-1.2693454625947962,quantile
2022-01-24,2022-01-29,23,1 wk ahead inc flu hosp,0.05,-0.7960318794117298,quantile
2022-01-24,2022-01-29,23,1 wk ahead inc flu hosp,0.1,-0.24940670123231812,quantile
2022-01-24,2022-01-29,23,1 wk ahead inc flu hosp,0.15,0.1345078419367579,quantile
2022-01-24,2022-01-29,23,1 wk ahead inc flu hosp,0.2,0.41579853510484305,quantile
2022-01-24,2022-01-29,23,1 wk ahead inc flu hosp,0.25,0.6989608156754353,quantile
2022-01-24,2022-01-29,23,1 wk ahead inc flu hosp,0.3,0.9487962063123166,quantile
2022-01-24,2022-01-29,23,1 wk ahead inc flu hosp,0.35,1.1512794921684864,quantile
2022-01-24,2022-01-29,23,1 wk ahead inc flu hosp,0.4,1.329986487516563,quantile
2022-01-24,2022-01-29,23,1 wk ahead inc flu hosp,0.45,1.5331404491303224,quantile
2022-01-24,2022-01-29,23,1 wk ahead inc flu hosp,0.5,1.7213462797216121,quantile
2022-01-24,2022-01-29,23,1 wk ahead inc flu hosp,0.55,1.94766476732015,quantile
2022-01-24,2022-01-29,23,1 wk ahead inc flu hosp,0.6,2.1451888509265022,quantile
2022-01-24,2022-01-29,23,1 wk ahead inc flu hosp,0.65,2.3434830638700883,quantile
