forecast_date,target_end_date,location,target,quantile,value,type
2022-03-21,2022-03-26,09,1 wk ahead inc flu hosp,0.01,1.0705470799283772,quantile
2022-03-21,2022-03-26,09,1 wk ahead inc flu hosp,0.025,2.279131006439276,quantile
2022-03-21,2022-03-26,09,1 wk ahead inc flu hosp,0.05,3.302729973611782,quantile
2022-03-21,2022-03-26,09,1 wk ahead inc flu hosp,0.1,4.450453584566844,quantile
2022-03-21,2022-03-26,09,1 wk ahead inc flu hosp,0.15,5.222561509181698,quantile
2022-03-21,2022-03-26,09,1 wk ahead inc flu hosp,0.2,5.876127921980084,quantile
2022-03-21,2022-03-26,09,1 wk ahead inc flu hosp,0.25,6.445050377469419,quantile
2022-03-21,2022-03-26,09,1 wk ahead inc flu hosp,0.3,6.920189074518989,quantile
2022-03-21,2022-03-26,09,1 wk ahead inc flu hosp,0.35,7.353031460381706,quantile
2022-03-21,2022-03-26,09,1 wk ahead inc flu hosp,0.4,7.795685600876519,quantile
2022-03-21,2022-03-26,09,1 wk ahead inc flu hosp,0.45,8.231425559989066,quantile
2022-03-21,2022-03-26,09,1 wk ahead inc flu hosp,0.5,8.626304678201937,quantile
2022-03-21,2022-03-26,09,1 wk ahead inc flu hosp,0.55,9.01168878397898,quantile
2022-03-21,2022-03-26,09,1 wk ahead inc flu hosp,0.6,9.39860268775001,quantile
2022-03-21,2022-03-26,09,1 wk ahead inc flu hosp,0.65,9.824725872343665,quantile
2022-03-21,2022-03-26,09,1 wk ahead inc flu hosp,0.7,10.285371008342988,quantile
2022-03-21,2022-03-26,09,1 wk ahead inc flu hosp,0.75,10.75743122159076,quantile
2022-03-21,2022-03-26,09,1 wk ahead inc flu hosp,0.8,11.301820164985031,quantile
2022-03-21,2022-03-26,09,1 wk ahead inc flu hosp,0.85,11.899550067632337,quantile
2022-03-21,2022-03-26,09,1 wk ahead inc flu hosp,0.9,12.65809000275546,quantile
2022-03-21,2022-03-26,09,1 wk ahead inc flu hosp,0.95,13.947611720471308,quantile
2022-03-21,2022-03-26,09,1 wk ahead inc flu hosp,0.975,14.922955869546731,quantile
2022-03-21,2022-03-26,09,1 wk ahead inc flu hosp,0.99,16.322532247528073,quantile
2022-03-21,2022-04-02,09,2 wk ahead inc flu hosp,0.01,0.0,quantile
2022-03-21,2022-04-02,09,2 wk ahead inc flu hosp,0.025,0.0,quantile
2022-03-21,2022-04-02,09,2 wk ahead inc flu hosp,0.05,0.0,quantile
2022-03-21,2022-04-02,09,2 wk ahead inc flu hosp,0.1,0.2868986720584413,quantile
2022-03-21,2022-04-02,09,2 wk ahead inc flu hosp,0.15,1.503739614808819,quantile
2022-03-21,2022-04-02,09,2 wk ahead inc flu hosp,0.2,2.484234956158322,quantile
2022-03-21,2022-04-02,09,2 wk ahead inc flu hosp,0.25,3.320485845119169,quantile
2022-03-21,2022-04-02,09,2 wk ahead inc flu hosp,0.3,4.089731321213436,quantile
2022-03-21,2022-04-02,09,2 wk ahead inc flu hosp,0.35,4.796910952329903,quantile
2022-03-21,2022-04-02,09,2 wk ahead inc flu hosp,0.4,5.43551298376501,quantile
2022-03-21,2022-04-02,09,2 wk ahead inc flu hosp,0.45,6.052952075285271,quantile
2022-03-21,2022-04-02,09,2 wk ahead inc flu hosp,0.5,6.676569945898,quantile
2022-03-21,2022-04-02,09,2 wk ahead inc flu hosp,0.55,7.34399402752344,quantile
2022-03-21,2022-04-02,09,2 wk ahead inc flu hosp,0.6,8.003722379666813,quantile
2022-03-21,2022-04-02,09,2 wk ahead inc flu hosp,0.65,8.660935725736795,quantile
2022-03-21,2022-04-02,09,2 wk ahead inc flu hosp,0.7,9.370794797536998,quantile
2022-03-21,2022-04-02,09,2 wk ahead inc flu hosp,0.75,10.201083322238146,quantile
2022-03-21,2022-04-02,09,2 wk ahead inc flu hosp,0.8,11.098865877944707,quantile
2022-03-21,2022-04-02,09,2 wk ahead inc flu hosp,0.85,12.086191416802864,quantile
2022-03-21,2022-04-02,09,2 wk ahead inc flu hosp,0.9,13.47948338494618,quantile
2022-03-21,2022-04-02,09,2 wk ahead inc flu hosp,0.95,15.542706428940544,quantile
2022-03-21,2022-04-02,09,2 wk ahead inc flu hosp,0.975,17.331894909228307,quantile
2022-03-21,2022-04-02,09,2 wk ahead inc flu hosp,0.99,19.74197834862124,quantile
2022-03-21,2022-04-09,09,3 wk ahead inc flu hosp,0.01,0.0,quantile
2022-03-21,2022-04-09,09,3 wk ahead inc flu hosp,0.025,0.0,quantile
2022-03-21,2022-04-09,09,3 wk ahead inc flu hosp,0.05,0.0,quantile
2022-03-21,2022-04-09,09,3 wk ahead inc flu hosp,0.1,0.0,quantile
2022-03-21,2022-04-09,09,3 wk ahead inc flu hosp,0.15,0.5814685455170563,quantile
2022-03-21,2022-04-09,09,3 wk ahead inc flu hosp,0.2,1.874108412335426,quantile
2022-03-21,2022-04-09,09,3 wk ahead inc flu hosp,0.25,3.038953062235505,quantile
2022-03-21,2022-04-09,09,3 wk ahead inc flu hosp,0.3,4.026506272596542,quantile
2022-03-21,2022-04-09,09,3 wk ahead inc flu hosp,0.35,4.988004615169888,quantile
2022-03-21,2022-04-09,09,3 wk ahead inc flu hosp,0.4,5.861691980453546,quantile
2022-03-21,2022-04-09,09,3 wk ahead inc flu hosp,0.45,6.652933026821108,quantile
2022-03-21,2022-04-09,09,3 wk ahead inc flu hosp,0.5,7.499093947510978,quantile
2022-03-21,2022-04-09,09,3 wk ahead inc flu hosp,0.55,8.348167532777492,quantile
2022-03-21,2022-04-09,09,3 wk ahead inc flu hosp,0.6,9.176752915693172,quantile
2022-03-21,2022-04-09,09,3 wk ahead inc flu hosp,0.65,10.080790988102176,quantile
2022-03-21,2022-04-09,09,3 wk ahead inc flu hosp,0.7,11.009600089892746,quantile
2022-03-21,2022-04-09,09,3 wk ahead inc flu hosp,0.75,12.021626729947378,quantile
2022-03-21,2022-04-09,09,3 wk ahead inc flu hosp,0.8,13.226560395481297,quantile
2022-03-21,2022-04-09,09,3 wk ahead inc flu hosp,0.85,14.699594088473432,quantile
2022-03-21,2022-04-09,09,3 wk ahead inc flu hosp,0.9,16.592843711421935,quantile
2022-03-21,2022-04-09,09,3 wk ahead inc flu hosp,0.95,19.58906305341264,quantile
2022-03-21,2022-04-09,09,3 wk ahead inc flu hosp,0.975,21.928072588985025,quantile
