location,location_name,yr,week,ew,mw,value
01,Alabama,2020,29,202029,18,823
01,Alabama,2020,30,202030,19,1003
01,Alabama,2020,31,202031,20,871
01,Alabama,2020,32,202032,21,696
01,Alabama,2020,33,202033,22,726
01,Alabama,2020,34,202034,23,776
01,Alabama,2020,35,202035,24,879
01,Alabama,2020,36,202036,25,851
01,Alabama,2020,37,202037,26,766
01,Alabama,2020,38,202038,27,750
01,Alabama,2020,39,202039,28,800
01,Alabama,2020,40,202040,29,748
01,Alabama,2020,41,202041,30,793
01,Alabama,2020,42,202042,31,874
01,Alabama,2020,43,202043,32,1045
01,Alabama,2020,44,202044,33,1103
01,Alabama,2020,45,202045,34,1131
01,Alabama,2020,46,202046,35,1314
01,Alabama,2020,47,202047,36,1387
01,Alabama,2020,48,202048,37,1537
01,Alabama,2020,49,202049,38,1976
01,Alabama,2020,50,202050,39,2281
01,Alabama,2020,51,202051,40,2667
01,Alabama,2020,52,202052,41,2834
01,Alabama,2020,53,202053,42,2936
01,Alabama,2021,1,202101,43,3098
01,Alabama,2021,2,202102,44,2715
01,Alabama,2021,3,202103,45,2206
01,Alabama,2021,4,202104,46,1829
01,Alabama,2021,5,202105,47,1556
01,Alabama,2021,6,202106,48,1192
01,Alabama,2021,7,202107,49,955
01,Alabama,2021,8,202108,50,717
01,Alabama,2021,9,202109,51,558
01,Alabama,2021,10,202110,52,457
01,Alabama,2021,11,202111,53,552
01,Alabama,2021,12,202112,54,452
01,Alabama,2021,13,202113,55,390
01,Alabama,2021,14,202114,56,379
01,Alabama,2021,15,202115,57,388
01,Alabama,2021,16,202116,58,453
01,Alabama,2021,17,202117,59,411
01,Alabama,2021,18,202118,60,462
01,Alabama,2021,19,202119,61,501
01,Alabama,2021,20,202120,62,345
01,Alabama,2021,21,202121,63,329
01,Alabama,2021,22,202122,64,263
01,Alabama,2021,23,202123,65,216
01,Alabama,2021,24,202124,66,181
01,Alabama,2021,25,202125,67,208
01,Alabama,2021,26,202126,68,499
01,Alabama,2021,27,202127,69,318
01,Alabama,2021,28,202128,70,556
01,Alabama,2021,29,202129,71,1188
01,Alabama,2021,30,202130,72,1872
01,Alabama,2021,31,202131,73,2118
01,Alabama,2021,32,202132,74,2603
01,Alabama,2021,33,202133,75,2582
01,Alabama,2021,34,202134,76,2536
01,Alabama,2021,35,202135,77,2673
01,Alabama,2021,36,202136,78,2352
01,Alabama,2021,37,202137,79,1709
01,Alabama,2021,38,202138,80,1156
01,Alabama,2021,39,202139,81,837
01,Alabama,2021,40,202140,82,741
01,Alabama,2021,41,202141,83,554
01,Alabama,2021,42,202142,84,427
01,Alabama,2021,43,202143,85,388
01,Alabama,2021,44,202144,86,284
01,Alabama,2021,45,202145,87,293
01,Alabama,2021,46,202146,88,266
01,Alabama,2021,47,202147,89,267
01,Alabama,2021,48,202148,90,342
01,Alabama,2021,49,202149,91,341
01,Alabama,2021,50,202150,92,363
01,Alabama,2021,51,202151,93,499
01,Alabama,2021,52,202152,94,1154
01,Alabama,2022,1,202201,95,1888
01,Alabama,2022,2,202202,96,2478
01,Alabama,2022,3,202203,97,2837
01,Alabama,2022,4,202204,98,2974
01,Alabama,2022,5,202205,99,2241
01,Alabama,2022,6,202206,100,1548
01,Alabama,2022,7,202207,101,1001
01,Alabama,2022,8,202208,102,710
02,Alaska,2020,29,202029,18,8
02,Alaska,2020,30,202030,19,34
02,Alaska,2020,31,202031,20,19
02,Alaska,2020,32,202032,21,29
02,Alaska,2020,33,202033,22,23
02,Alaska,2020,34,202034,23,37
02,Alaska,2020,35,202035,24,28
02,Alaska,2020,36,202036,25,36
02,Alaska,2020,37,202037,26,32
